label,sensitivity,specificity,support
BC,0.8074074074074075,0.9800193361263294,135
BC_benign,0.0,1.0,6
BL,0.1875,0.9927169094363522,80
BT,0.0375,0.9968334388853705,80
CC,0.4608150470219436,0.9410757108598835,319
EC,0.6228070175438597,0.9846350832266325,114
GC,0.4416961130742049,0.9461928934010152,283
GL,0.5918367346938775,0.995609909062402,49
GL_benign,0.0,1.0,5
HC,0.07246376811594203,0.9974755443357526,69
LK,0.40117994100294985,0.9248016557433598,339
OV,0.05,0.9952501583280557,80
OV_benign,0.0,1.0,5
PC,0.4,0.9599087353324641,170
PR,0.46116504854368934,0.9544854881266491,206
PR_benign,0.13043478260869565,0.9968671679197995,46
SA,0.4,0.9921334172435494,60
SA_benign,0.2698412698412698,0.9971653543307086,63
VOL,0.9140832595217007,0.8492176386913229,1129
