label,sensitivity,specificity,support
BC,0.9481481481481482,0.9954882371898163,135
BC_benign,0.0,1.0,6
BL,0.8625,0.9952501583280557,80
BT,0.5925925925925926,0.9939816281279696,81
CC,0.8996865203761756,0.9808153477218226,319
EC,0.8407079646017699,0.99552,113
GC,0.901060070671378,0.9857868020304569,283
GL,0.9795918367346939,0.9981185324553151,49
GL_benign,0.2,0.9996906897618311,5
HC,0.7285714285714285,0.9952651515151515,70
LK,0.9029411764705882,0.9913733609385783,340
OV,0.7375,0.9958834705509816,80
OV_benign,0.0,1.0,5
PC,0.8941176470588236,0.9908735332464146,170
PR,0.9368932038834952,0.9943931398416886,206
PR_benign,1.0,1.0,46
SA,0.8135593220338984,0.9996854356715948,59
SA_benign,0.7580645161290323,0.996536523929471,62
VOL,0.9982285208148804,1.0,1129
